"DistCoast","Phase","Area","Count","Depth","Year","Month","Day","YearMonth","XPos","YPos","TransectID"
7.954,"A",0.956,0,24.75,2000,1,14,"2000/1",659917.3704,6045025.189,"20000114.t3"
7.496,"A",0.956,0,22.97,2000,1,14,"2000/1",659827.6917,6045521.279,"20000114.t3"
7.009,"A",0.956,0,21.55,2000,1,14,"2000/1",659841.0092,6046022.659,"20000114.t3"
6.538,"A",0.956,0,21.15,2000,1,14,"2000/1",659805.3421,6046521.557,"20000114.t3"
6.061,"A",0.956,0,19.59,2000,1,14,"2000/1",659791.3078,6047022.001,"20000114.t3"
5.611,"A",0.956,0,17.53,2000,1,14,"2000/1",659720.8857,6047517.899,"20000114.t3"
5.141,"A",0.956,0,15.63,2000,1,14,"2000/1",659708.573,6048019.122,"20000114.t3"
4.713,"A",0.956,0,14.2,2000,1,14,"2000/1",659605.2123,6048511.077,"20000114.t3"
4.261,"A",0.956,0,11.45,2000,1,14,"2000/1",659573.4546,6049010.811,"20000114.t3"
3.794,"A",0.956,12,10.61,2000,1,14,"2000/1",659574.4914,6049512.015,"20000114.t3"
3.346,"A",0.956,0,9.28,2000,1,14,"2000/1",659533.7427,6050010.512,"20000114.t3"
2.927,"A",0.956,0,7.89,2000,1,14,"2000/1",659446.8977,6050506.003,"20000114.t3"
2.466,"A",0.956,0,8.17,2000,1,14,"2000/1",659466.0137,6051007.766,"20000114.t3"
2.049,"A",0.956,0,7.8,2000,1,14,"2000/1",659440.4609,6051507.327,"20000114.t3"
1.652,"A",0.956,0,8.39,2000,1,14,"2000/1",659413.515,6052008.045,"20000114.t3"
1.235,"A",0.956,0,6.45,2000,1,14,"2000/1",659445.8722,6052508.684,"20000114.t3"
0.819,"A",0.956,0,4.39,2000,1,14,"2000/1",659514.4546,6053005.216,"20000114.t3"
0.396,"A",0.956,0,3.6,2000,1,14,"2000/1",659549.0286,6053504.685,"20000114.t3"
0,"A",0.956,0,0.86,2000,1,14,"2000/1",659580.845,6054008.296,"20000114.t3"
0.479,"A",0.956,0,1.09,2000,1,14,"2000/1",659711.8438,6054495.267,"20000114.t3"
0.327,"A",0.956,0,0.89,2000,1,14,"2000/1",659867.9339,6054971.882,"20000114.t3"
0.103,"A",0.956,0,0.94,2000,1,14,"2000/1",659979.8974,6055467.768,"20000114.t3"
0.102,"A",0.39775336,0,0.75,2000,1,14,"2000/1",662098.7745,6057249.302,"20000114.t4"
0.45,"A",0.956,0,1.22,2000,1,14,"2000/1",662107.6397,6056894.887,"20000114.t4"
0.137,"A",0.956,0,1.27,2000,1,14,"2000/1",662155.6114,6056397.101,"20000114.t4"
0,"A",0.956,0,1.44,2000,1,14,"2000/1",662183.7942,6055897.802,"20000114.t4"
0.428,"A",0.956,0,1.25,2000,1,14,"2000/1",662229.6361,6055399.849,"20000114.t4"
0.926,"A",0.956,0,1.1,2000,1,14,"2000/1",662275.8253,6054901.6,"20000114.t4"
1.292,"A",0.956,0,0.96,2000,1,14,"2000/1",662286.3232,6054401.223,"20000114.t4"
0.871,"A",0.956,0,0.89,2000,1,14,"2000/1",662268.5803,6053900.211,"20000114.t4"
0.49,"A",0.956,0,0.86,2000,1,14,"2000/1",662349.0697,6053402.739,"20000114.t4"
0.077,"A",0.956,0,0.54,2000,1,14,"2000/1",662327.1543,6052901.659,"20000114.t4"
0.297,"A",0.956,47,2.08,2000,1,14,"2000/1",662333.132,6052401.07,"20000114.t4"
0.796,"A",0.956,0,4.51,2000,1,14,"2000/1",662289.7018,6051902.202,"20000114.t4"
1.296,"A",0.956,0,6.05,2000,1,14,"2000/1",662249.0591,6051403.446,"20000114.t4"
1.796,"A",0.956,0,6.82,2000,1,14,"2000/1",662245.9123,6050903.149,"20000114.t4"
2.296,"A",0.956,0,6.65,2000,1,14,"2000/1",662256.8632,6050402.733,"20000114.t4"
2.796,"A",0.956,15,6.56,2000,1,14,"2000/1",662225.0638,6049903.454,"20000114.t4"
3.296,"A",0.956,0,6.92,2000,1,14,"2000/1",662227.7671,6049402.827,"20000114.t4"
3.795,"A",0.956,0,7.6,2000,1,14,"2000/1",662180.8434,6048904.592,"20000114.t4"
4.295,"A",0.956,0,9.32,2000,1,14,"2000/1",662152.0209,6048405.426,"20000114.t4"
4.795,"A",0.956,0,10.95,2000,1,14,"2000/1",662108.5786,6047906.908,"20000114.t4"
5.295,"A",0.956,0,12.57,2000,1,14,"2000/1",662101.2532,6047406.676,"20000114.t4"
5.795,"A",0.956,0,13.76,2000,1,14,"2000/1",662106.7595,6046906.366,"20000114.t4"
6.295,"A",0.956,0,16.26,2000,1,14,"2000/1",662075.7154,6046407.034,"20000114.t4"
6.795,"A",0.956,0,17.92,2000,1,14,"2000/1",662078.366,6045906.752,"20000114.t4"
7.295,"A",0.956,0,19.79,2000,1,14,"2000/1",662042.7473,6045407.615,"20000114.t4"
7.795,"A",0.956,0,21.38,2000,1,14,"2000/1",662022.2295,6044907.744,"20000114.t4"
8.295,"A",0.956,0,22.13,2000,1,14,"2000/1",662020.7883,6044407.256,"20000114.t4"
8.796,"A",0.956,0,23.27,2000,1,14,"2000/1",662025.5928,6043906.2,"20000114.t4"
9.294,"A",0.956,0,24.64,2000,1,14,"2000/1",662068.29,6043406.936,"20000114.t4"
9.79,"A",0.956,0,25.78,2000,1,14,"2000/1",662122.2915,6042909.236,"20000114.t4"
10.279,"A",0.956,0,25.8,2000,1,14,"2000/1",662229.2839,6042419.112,"20000114.t4"
10.777,"A",0.956,0,26.25,2000,1,14,"2000/1",662279.2344,6041921.313,"20000114.t4"
11.272,"A",0.956,0,26.27,2000,1,14,"2000/1",662349.0382,6041425.936,"20000114.t4"
11.769,"A",0.956,0,26.19,2000,1,14,"2000/1",662410.5664,6040928.68,"20000114.t4"
12.271,"A",0.956,0,25.71,2000,1,14,"2000/1",662422.0935,6040427.566,"20000114.t4"
12.771,"A",0.956,0,25.64,2000,1,14,"2000/1",662415.6371,6039926.963,"20000114.t4"
13.271,"A",0.956,0,25.09,2000,1,14,"2000/1",662401.9973,6039426.933,"20000114.t4"
13.771,"A",0.956,0,25.23,2000,1,14,"2000/1",662421.5182,6038926.885,"20000114.t4"
15.003,"A",0.956,0,24.8,2000,1,14,"2000/1",663949.0864,6037778.537,"20000114.t5"
14.515,"A",0.956,0,24.76,2000,1,14,"2000/1",664014.1748,6038276.619,"20000114.t5"
14.009,"A",0.956,0,24.92,2000,1,14,"2000/1",663954.3052,6038778.182,"20000114.t5"
13.526,"A",0.956,0,25.31,2000,1,14,"2000/1",664049.5788,6039276.658,"20000114.t5"
13.02,"A",0.956,0,25.2,2000,1,14,"2000/1",663972.3301,6039776.66,"20000114.t5"
12.525,"A",0.956,0,25.59,2000,1,14,"2000/1",663981.1927,6040276.917,"20000114.t5"
12.03,"A",0.956,0,25.65,2000,1,14,"2000/1",663987.7571,6040777.049,"20000114.t5"
11.54,"A",0.956,0,25.74,2000,1,14,"2000/1",664018.4114,6041276.35,"20000114.t5"
11.055,"A",0.956,0,25.82,2000,1,14,"2000/1",664085.7858,6041776.253,"20000114.t5"
10.556,"A",0.956,0,25.33,2000,1,14,"2000/1",664083.3193,6042281.457,"20000114.t5"
10.05,"A",0.956,0,24.8,2000,1,14,"2000/1",663910.5624,6042766.203,"20000114.t5"
9.544,"A",0.956,0,22.48,2000,1,14,"2000/1",663843.8795,6043267.794,"20000114.t5"
9.056,"A",0.956,0,21.29,2000,1,14,"2000/1",663894.8688,6043771.224,"20000114.t5"
8.58,"A",0.956,0,20.15,2000,1,14,"2000/1",663968.0621,6044267.534,"20000114.t5"
8.108,"A",0.956,0,18.19,2000,1,14,"2000/1",664045.9317,6044763.072,"20000114.t5"
7.617,"A",0.956,0,16.31,2000,1,14,"2000/1",664047.3693,6045264.176,"20000114.t5"
7.128,"A",0.956,0,14.26,2000,1,14,"2000/1",664053.7097,6045764.296,"20000114.t5"
6.651,"A",0.956,0,12.83,2000,1,14,"2000/1",664109.518,6046264.077,"20000114.t5"
6.148,"A",0.956,0,11.55,2000,1,14,"2000/1",664041.972,6046763.576,"20000114.t5"
5.653,"A",0.956,0,10.05,2000,1,14,"2000/1",664016.1066,6047263.179,"20000114.t5"
5.165,"A",0.956,0,8.08,2000,1,14,"2000/1",664019.9046,6047763.329,"20000114.t5"
4.68,"A",0.956,15,6.93,2000,1,14,"2000/1",664024.8152,6048263.334,"20000114.t5"
